Word	Occurrences
ordem	10
ouvira	10
peito	10
portas	10
pátria	10
segredo	10
senhoras	10
teria	10
teus	10
triste	10
veio	10
via	10
Índia	10
Ó	10
água	10
ânimo	10
!?	9
Muito	9
Na	9
Quer	9
Queria	9
Quis	9
achou	9
alegria	9
cabo	9
certeza	9
consigo	9
coro	9
correu	9
daquelas	9
defronte	9
depressa	9
desembargador	9
desgraçada	9
distância	9
encontrar	9
fazia	9
ferros	9
ficou	9
filhos	9
fiz	9
geral	9
imagem	9
jornada	9
lugar	9
madre	9
maior	9
morto	9
mulheres	9
naquela	9
naquele	9
nenhuma	9
noites	9
nossos	9
ora	9
passagem	9
paço	9
pediu	9
propósito	9
puder	9
rapaz	9
rua	9
saudades	9
sentou-se	9
sequer	9
sobrinho	9
sorriso	9
sozinho	9
vamos	9
viesse	9
vinho	9
vinte	9
violência	9
vira	9
volta	9
vão	9
Com	8
Enquanto	8
Maria	8
Mosqueira	8
Nada	8
Nem	8
Parece	8
Relação	8
Seu	8
São	8
V	8
Vá	8
além	8
amante	8
amo	8
boca	8
cadeira	8
caiu	8
casamento	8
chorava	8
consciência	8
daí	8
divina	8
dê	8
esperava	8
estalagem	8
esteja	8
ferro	8
fim	8
frente	8
futuro	8
glória	8
grade	8
janelas	8
lhes	8
livre	8
martírio	8
miserável	8
morreu	8
mudança	8
natural	8
necessário	8
novas	8
onze	8
padre	8
parece	8
parentes	8
partir	8
pedra	8
pena	8
perdão	8
piedade	8
poder	8
portaria	8
querer	8
quê	8
receio	8
semblante	8
sepultura	8
silêncio	8
situação	8
sol	8
tenha	8
tirou	8
trabalho	8
trinta	8
vais	8
velha	8
vingança	8
única	8
Aí	7
Diga	7
Exa	7
Neste	7
Nunca	7
Olha	7
Portugal	7
Sim	7
Vai	7
abrir	7
adeus	7
almocreve	7
almoço	7
amar	7
avental	7
bacamarte	7
bons	7
cadeias	7
capitão	7
carcereiro	7
chamado	7
chamou	7
cinco	7
compaixão	7
confiança	7
contar	7
corpo	7
cujo	7
cólera	7
debaixo	7
deixasse	7
demência	7
deviam	7
digo	7
encostado	7
ergueu-se	7
esmola	7
esperando	7
estivesse	7
estás	7
faria	7
fizera	7
força	7
fé	7
gesto	7
gratidão	7
graça	7
gênio	7
havia	7
inimigo	7
intendente	7
jaqueta	7
leis	7
leito	7
lenço	7
ler	7
local	7
longo	7
lábios	7
mano	7
meio	7
meninas	7
mestra	7
morgado	7
morre	7
morro	7
muitos	7
nisso	7
nobre	7
noticia	7
novidade	7
olhe	7
olho	7
paixões	7
partiu	7
patíbulo	7
perigo	7
peço	7
pois	7
pão	7
pés	7
pôr	7
querida	7
quis	7
raio	7
rapidamente	7
razões	7
religiosas	7
respondia	7
retirou-se	7
segunda	7
sete	7
século	7
tinteiro	7
tirar	7
têm	7
umas	7
vossemecê	7
vê	7
ânsia	7
ó	7
Antônio	6
Creio	6
Espanha	6
Estes	6
Faça	6
Josefa	6
Ninguém	6
Porque	6
Pouco	6
Sei	6
Vossa	6
abadessa	6
acudiu	6
agonia	6
aldeia	6
alto	6
ama	6
amada	6
amanhã	6
ambos	6
amizade	6
apesar	6
atrás	6
aurora	6
ausência	6
cair	6
caldo	6
capelão	6
carteira	6
certa	6
cima	6
cinquenta	6
clavina	6
começou	6
conhecia	6
conheço	6
cuidava	6
daqueles	6
degredado	6
deixe	6
desgraçados	6
devo	6
digna	6
dignidade	6
diria	6
disse-me	6
dito	6
encontro	6
espaço	6
esses	6
estavam	6
estes	6
estão	6
excelência	6
falava	6
ferida	6
filhas	6
fio	6
fitos	6
fizesse	6
fogo	6
fossem	6
grades	6
grandes	6
homicida	6
hás	6
hóspede	6
idade	6
igreja	6
iria	6
lha	6
lâmpada	6
mandava	6
março	6
mato	6
memória	6
misericórdia	6
mortos	6
murmurou	6
médico	6
nela	6
nenhum	6
nesse	6
noviças	6
olhar	6
ouro	6
parecia	6
parou	6
passar	6
passou	6
pavimento	6
pede	6
pedindo	6
pessoas	6
podes	6
prisão	6
providência	6
prudência	6
rainha	6
recursos	6
religiosa	6
responder	6
santa	6
saía	6
saída	6
saído	6
tanta	6
tantas	6
tiver	6
tomou	6
tribunal	6
venha	6
ventura	6
vestido	6
viva	6
vizinho	6
vocês	6
vê-la	6
vêm	6
àquela	6
ânsias	6
?!...	5
Adeus	5
Aquela	5
Branco	5
Castelo	5
Correia	5
Deixe-me	5
Desceu	5
Diz	5
Ela	5
Esse	5
Estava	5
I	5
Lamego	5
Logo	5
Mesquita	5
Morreu	5
Nossa	5
Sabe	5
Sua	5
Tanto	5
Universidade	5
abraço	5
academia	5
aceite	5
aceitou	5
afinal	5
alta	5
amargura	5
amava	5
ambas	5
ameaças	5
anda	5
andar	5
andava	5
anjos	5
apaixonada	5
após	5
atirara	5
atroz	5
açoreana	5
beliche	5
boas	5
breve	5
cama	5
caminhou	5
campo	5
capaz	5
carrasco	5
casinha	5
cavalaria	5
cela	5
chamada	5
chegaram	5
chorando	5
chorou	5
cismar	5
ciúmes	5
coberto	5
colega	5
comer	5
conhece	5
contente	5
contigo	5
convés	5
cor	5
coragem	5
corações	5
corte	5
crer	5
culpa	5
câmara	5
d	5
dado	5
dando-lhe	5
darei	5
dedos	5
defesa	5
dei	5
deixa	5
deram	5
desterro	5
disso	5
dores	5
embrulho	5
encontrou	5
enfado	5
escrevia	5
esposo	5
estrelas	5
fazem	5
febre	5
filosofia	5
final	5
forte	5
freiras	5
fronte	5
fronteira	5
fugiu	5
garganta	5
general	5
golpe	5
houve	5
humana	5
iam	5
indigna	5
indo	5
infame	5
inferno	5
infortúnio	5
lançou-se	5
leitor	5
leve	5
liteiras	5
livros	5
locutório	5
longa	5
meter	5
milagre	5
milhões	5
momentos	5
movimento	5
muro	5
médicos	5
mês	5
natureza	5
nobreza	5
nossas	5
noutro	5
novo	5
ontem	5
opinião	5
ordens	5
organista	5
ouvia	5
paciência	5
pagar	5
papéis	5
parede	5
paredes	5
passado	5
passados	5
patife	5
pensava	5
perder	5
perguntas	5
plano	5
polícia	5
possível	5
pouca	5
prazer	5
presente	5
primas	5
primeiras	5
primos	5
procurar	5
prosseguiu	5
pátio	5
quais	5
quanto	5
queira	5
remédio	5
rica	5
romper	5
sabem	5
sabes	5
sacrifício	5
sai	5
sendo	5
sentada	5
sentir	5
serem	5
servir	5
severidade	5
sombra	5
sonhos	5
sorte	5
soubesse	5
sucessos	5
suspeita	5
suspeitas	5
temos	5
tempos	5
tenção	5
vaidade	5
vergonha	5
verás	5
viam	5
vista	5
visto	5
vive	5
ódio	5
últimas	5
últimos	5
1805	4
Algumas	4
Amanhã	4
Caldeirão	4
Cascais	4
Chegou	4
Cuidei	4
Da	4
Desde	4
Diga-lhe	4
Disse	4
Dizia	4
Do	4
Ele	4
Eram	4
Escreveu	4
Fernão	4
Fique	4
José	4
Luís	4
Mestre	4
Mourão	4
Nas	4
Nenhum	4
Nos	4
Onde	4
Perguntou	4
Pode	4
Pudera	4
Queres	4
Respondeu	4
Saiu	4
Santíssima	4
Soube	4
Também	4
Teresinha	4
Teu	4
Teve	4
Tome	4
Tudo	4
Vai-te	4
Virgem	4
Viu	4
Viva	4
abriu	4
aceitasse	4
acrescentou	4
ajoelhou	4
almas	4
alva	4
ameaça	4
anterior	4
antiguidade	4
aqueles	4
ares	4
arranjar	4
arranjo	4
através	4
baile	4
baixo	4
banca	4
barra	4
beijo	4
bela	4
bordo	4
bradou	4
brandura	4
bravura	4
bulir	4
cabelos	4
cabeças	4
cadete	4
caldinho	4
casada	4
casas	4
cavalgadura	4
cavalheiro	4
chegar	4
choro	4
chão	4
cirurgião	4
companheiros	4
composto	4
condiscípulos	4
conhecer	4
contas	4
contrário	4
correio	4
correr	4
correspondência	4
costas	4
cozinha	4
cruzados	4
cuidando	4
cunhada	4
dedo	4
degredados	4
deixara	4
deixe-me	4
deles	4
delicadeza	4
demônio	4
descer	4
desertor	4
desgosto	4
deu-lhe	4
deu-me	4
devoção	4
dezesseis	4
digno	4
direito	4
direitos	4
dissesse	4
dizem	4
dizendo-lhe	4
diálogo	4
doces	4
elas	4
entanto	4
enxovia	4
erguendo-se	4
erguidas	4
escarlate	4
escassamente	4
escondido	4
escrevesse	4
escrevo	4
escurecer	4
espantado	4
espasmo	4
esperasse	4
essas	4
estamos	4
esteve	4
estima	4
estiver	4
estomacal	4
estradas	4
estranha	4
exemplo	4
fazer-se	4
faça	4
febril	4
fechar	4
fechou	4
feita	4
festa	4
fibras	4
ficaram	4
fico	4
figura	4
fitou	4
fizeram	4
flor	4
fortuna	4
frieza	4
frio	4
fugisse	4
fugitiva	4
gemidos	4
graças	4
gritos	4
guardar	4
humano	4
hão	4
ida	4
idéias	4
igual	4
infelizes	4
inocentes	4
inocência	4
instantes	4
interior	4
interrompeu	4
ira	4
jardim	4
julgamento	4
largo	4
levou	4
linha	4
linhas	4
livro	4
loucura	4
luta	4
macho	4
maiores	4
mandara	4
mangas	4
mata	4
matador	4
mau	4
maço	4
meios	4
melhores	4
menino	4
mo	4
modos	4
moedas	4
morreria	4
mudou	4
mula	4
nele	4
notícia	4
novamente	4
obra	4
obrigação	4
oito	4
olhou	4
oratório	4
ouvidos	4
ouviram	4
pais	4
paizinho	4
parecer	4
parente	4
passa	4
passando	4
passara	4
pau	4
paz	4
pedi	4
pedia	4
pediu-lhe	4
pensativa	4
penso	4
perdido	4
perto	4
peças	4
podem	4
podiam	4
porventura	4
possa	4
poucos	4
povo	4
prata	4
projetos	4
província	4
própria	4
próprios	4
pude	4
quartos	4
quatrocentos	4
querido	4
quisesse	4
rancor	4
raras	4
real	4
redor	4
refletiu	4
rei	4
repetiu	4
resistir	4
resolução	4
resolveu	4
respirar	4
retrocedeu	4
risco	4
romance	4
romances	4
ruas	4
rédeas	4
saiba	4
salva	4
saíra	4
saíram	4
saísse	4
saúde	4
seguro	4
sentia	4
sentimentos	4
serás	4
sinal	4
sinceridade	4
sinos	4
sinto	4
subir	4
superior	4
talento	4
tamanha	4
terá	4
tom	4
tomando	4
tomar	4
tremia	4
valor	4
varanda	4
vestir	4
viera	4
vindo	4
virtudes	4
visse	4
vizinha	4
vultos	4
àquele	4
á	4
árvores	4
ímpeto	4
índole	4
!.	3
..	3
1803	3
1807	3
Alguma	3
Alguns	3
Amava	3
Anda	3
Aquilo	3
Até	3
Basta	3
Bragança	3
Camões	3
Chamou	3
Clementina	3
Conta	3
Cuida	3
Daqui	3
Deixe-a	3
Deu	3
Dezoito	3
Disse-me	3
Douro	3
Duas	3
Dê	3
Entre	3
Fale	3
Faz	3
França	3
Hei	3
Leia	3
Leve	3
Lua	3
Mais	3
Mondego	3
Montes	3
Montezelos	3
Obrigado	3
Ouviu	3
Passos	3
Pelo	3
Perguntei-lhe	3
Poderei	3
Qual	3
Remédios	3
Sem	3
Sempre	3
Serei	3
Seria	3
Sr	3
Tanta	3
Tenha	3
Tinha	3
Tinham	3
Todos	3
Trás-os	3
Tão	3
Veiga	3
Veja	3
Venha	3
Venho	3
